date_time,is_holiday
2012-10-08 00:00:00,Columbus Day
2012-11-12 00:00:00,Veterans Day
2012-11-22 00:00:00,Thanksgiving Day
2012-12-25 00:00:00,Christmas Day
2013-01-01 00:00:00,New Years Day
2013-02-18 00:00:00,Washingtons Birthday
2013-05-27 00:00:00,Memorial Day
2013-07-04 00:00:00,Independence Day
2013-08-22 00:00:00,State Fair
2013-09-02 00:00:00,Labor Day
2013-10-14 00:00:00,Columbus Day
2013-11-11 00:00:00,Veterans Day
2013-11-28 00:00:00,Thanksgiving Day
2013-12-25 00:00:00,Christmas Day
2014-01-01 00:00:00,New Years Day
2014-01-20 00:00:00,Martin Luther King Jr Day
2014-02-17 00:00:00,Washingtons Birthday
2014-05-26 00:00:00,Memorial Day
2015-07-03 00:00:00,Independence Day
2015-08-27 00:00:00,State Fair
2015-09-07 00:00:00,Labor Day
2015-10-12 00:00:00,Columbus Day
2015-11-11 00:00:00,Veterans Day
2015-11-26 00:00:00,Thanksgiving Day
2015-11-26 00:00:00,Thanksgiving Day
2015-12-25 00:00:00,Christmas Day
2016-01-01 00:00:00,New Years Day
2016-01-01 00:00:00,New Years Day
2016-02-15 00:00:00,Washingtons Birthday
2016-05-30 00:00:00,Memorial Day
2016-07-04 00:00:00,Independence Day
2016-08-25 00:00:00,State Fair
2016-09-05 00:00:00,Labor Day
2016-09-05 00:00:00,Labor Day
2016-10-10 00:00:00,Columbus Day
2016-11-11 00:00:00,Veterans Day
2016-11-24 00:00:00,Thanksgiving Day
2016-12-26 00:00:00,Christmas Day
2016-12-26 00:00:00,Christmas Day
2017-01-02 00:00:00,New Years Day
2017-01-16 00:00:00,Martin Luther King Jr Day
2017-01-16 00:00:00,Martin Luther King Jr Day
2017-02-20 00:00:00,Washingtons Birthday
2017-05-29 00:00:00,Memorial Day
2017-07-04 00:00:00,Independence Day
2017-08-24 00:00:00,State Fair
2017-09-04 00:00:00,Labor Day
2017-10-09 00:00:00,Columbus Day
2017-11-10 00:00:00,Veterans Day
2017-11-23 00:00:00,Thanksgiving Day
2017-12-25 00:00:00,Christmas Day
2018-01-01 00:00:00,New Years Day
2018-01-15 00:00:00,Martin Luther King Jr Day
2018-01-15 00:00:00,Martin Luther King Jr Day
2018-01-15 00:00:00,Martin Luther King Jr Day
2018-02-19 00:00:00,Washingtons Birthday
2018-05-28 00:00:00,Memorial Day
2018-07-04 00:00:00,Independence Day
2018-08-23 00:00:00,State Fair
2018-09-03 00:00:00,Labor Day
2018-09-03 00:00:00,Labor Day
