ds,holiday
2012-10-08,Columbus Day
2012-11-12,Veterans Day
2012-11-22,Thanksgiving Day
2012-12-25,Christmas Day
2013-01-01,New Years Day
2013-02-18,Washingtons Birthday
2013-05-27,Memorial Day
2013-07-04,Independence Day
2013-08-22,State Fair
2013-09-02,Labor Day
2013-10-14,Columbus Day
2013-11-11,Veterans Day
2013-11-28,Thanksgiving Day
2013-12-25,Christmas Day
2014-01-01,New Years Day
2014-01-20,Martin Luther King Jr Day
2014-02-17,Washingtons Birthday
2014-05-26,Memorial Day
2015-07-03,Independence Day
2015-08-27,State Fair
2015-09-07,Labor Day
2015-10-12,Columbus Day
2015-11-11,Veterans Day
2015-11-26,Thanksgiving Day
2015-11-26,Thanksgiving Day
2015-12-25,Christmas Day
2016-01-01,New Years Day
2016-01-01,New Years Day
2016-02-15,Washingtons Birthday
2016-05-30,Memorial Day
2016-07-04,Independence Day
2016-08-25,State Fair
2016-09-05,Labor Day
2016-09-05,Labor Day
2016-10-10,Columbus Day
2016-11-11,Veterans Day
2016-11-24,Thanksgiving Day
2016-12-26,Christmas Day
2016-12-26,Christmas Day
2017-01-02,New Years Day
2017-01-16,Martin Luther King Jr Day
2017-01-16,Martin Luther King Jr Day
2017-02-20,Washingtons Birthday
2017-05-29,Memorial Day
2017-07-04,Independence Day
2017-08-24,State Fair
2017-09-04,Labor Day
2017-10-09,Columbus Day
2017-11-10,Veterans Day
2017-11-23,Thanksgiving Day
2017-12-25,Christmas Day
2018-01-01,New Years Day
2018-01-15,Martin Luther King Jr Day
2018-01-15,Martin Luther King Jr Day
2018-01-15,Martin Luther King Jr Day
2018-02-19,Washingtons Birthday
2018-05-28,Memorial Day
2018-07-04,Independence Day
2018-08-23,State Fair
2018-09-03,Labor Day
2018-09-03,Labor Day
